Country Name,2020
Aruba,106766
Africa Eastern and Southern,677243299
Afghanistan,38928341
Africa Western and Central,458803476
Angola,32866268
Albania,2837743
Andorra,77265
Arab World,436080728
United Arab Emirates,9890400
Argentina,45376763
Armenia,2963234
American Samoa,55197
Antigua and Barbuda,97928
Australia,25687041
Austria,8917205
Azerbaijan,10110116
Burundi,11890781
Belgium,11555997
Benin,12123198
Burkina Faso,20903278
Bangladesh,164689383
Bulgaria,6927288
Bahrain,1701583
"Bahamas, The",393248
Bosnia and Herzegovina,3280815
Belarus,9398861
Belize,397621
Bermuda,63903
Bolivia,11673029
Brazil,212559409
Barbados,287371
Brunei Darussalam,437483
Bhutan,771612
Botswana,2351625
Central African Republic,4829764
Canada,38005238
Central Europe and the Baltics,102246330
Switzerland,8636896
Channel Islands,173859
Chile,19116209
China,1402112000
Cote d'Ivoire,26378275
Cameroon,26545864
"Congo, Dem. Rep.",89561404
"Congo, Rep.",5518092
Colombia,50882884
Comoros,869595
Cabo Verde,555988
Costa Rica,5094114
Caribbean small states,7442291
Cuba,11326616
Curacao,155014
Cayman Islands,65720
Cyprus,1207361
Czech Republic,10698896
Germany,83240525
Djibouti,988002
Dominica,71991
Denmark,5831404
Dominican Republic,10847904
Algeria,43851043
East Asia & Pacific (excluding high income),2105003391
Early-demographic dividend,3332105361
East Asia & Pacific,2352037717
Europe & Central Asia (excluding high income),420249459
Europe & Central Asia,923489941
Ecuador,17643060
"Egypt, Arab Rep.",102334403
Euro area,342949773
Eritrea,
Spain,47351567
Estonia,1331057
Ethiopia,114963583
European Union,447794691
Fragile and conflict affected situations,930006546
Finland,5530719
Fiji,896444
France,67391582
Faroe Islands,48865
"Micronesia, Fed. Sts.",115021
Gabon,2225728
United Kingdom,67215293
Georgia,3714000
Ghana,31072945
Gibraltar,33691
Guinea,13132792
"Gambia, The",2416664
Guinea-Bissau,1967998
Equatorial Guinea,1402985
Greece,10715549
Grenada,112519
Greenland,56367
Guatemala,16858333
Guam,168783
Guyana,786559
High income,1214930230
"Hong Kong SAR, China",7481800
Honduras,9904608
Heavily indebted poor countries (HIPC),823480038
Croatia,4047200
Haiti,11402533
Hungary,9749763
IBRD only,4853608684
IDA & IBRD total,6562212357
IDA total,1708603673
IDA blend,574159138
Indonesia,273523621
IDA only,1134444535
Isle of Man,85032
India,1380004385
Not classified,
Ireland,4994724
"Iran, Islamic Rep.",83992953
Iraq,40222503
Iceland,366425
Israel,9216900
Italy,59554023
Jamaica,2961161
Jordan,10203140
Japan,125836021
Kazakhstan,18754440
Kenya,53771300
Kyrgyz Republic,6591600
Cambodia,16718971
Kiribati,119446
St. Kitts and Nevis,53192
"Korea, Rep.",51780579
Kuwait,4270563
Latin America & Caribbean (excluding high income),595242966
Lao PDR,7275556
Lebanon,6825442
Liberia,5057677
Libya,6871287
St. Lucia,183629
Latin America & Caribbean,652276325
Least developed countries: UN classification,1057438163
Low income,665149035
Liechtenstein,38137
Sri Lanka,21919000
Lower middle income,3330652547
Low & middle income,6509474374
Lesotho,2142252
Late-demographic dividend,2307887395
Lithuania,2794700
Luxembourg,632275
Latvia,1901548
"Macao SAR, China",649342
St. Martin (French part),38659
Morocco,36910558
Monaco,39244
Moldova,2617820
Madagascar,27691019
Maldives,540542
Middle East & North Africa,464554123
Mexico,128932753
Marshall Islands,59194
Middle income,5844325339
North Macedonia,2083380
Mali,20250834
Malta,525285
Myanmar,54409794
Middle East & North Africa (excluding high income),396147843
Montenegro,621718
Mongolia,3278292
Northern Mariana Islands,57557
Mozambique,31255435
Mauritania,4649660
Mauritius,1265740
Malawi,19129955
Malaysia,32365998
North America,367553264
Namibia,2540916
New Caledonia,271960
Niger,24206636
Nigeria,206139587
Nicaragua,6624554
Netherlands,17441139
Norway,5379475
Nepal,29136808
Nauru,10834
New Zealand,5084300
OECD members,1370858752
Oman,5106622
Other small states,31941786
Pakistan,220892331
Panama,4314768
Peru,32971846
Philippines,109581085
Palau,18092
Papua New Guinea,8947027
Poland,37950802
Pre-demographic dividend,970795671
Puerto Rico,3194034
"Korea, Dem. People's Rep.",25778815
Portugal,10305564
Paraguay,7132530
West Bank and Gaza,4803269
Pacific island small states,2528958
Post-demographic dividend,1115116448
French Polynesia,280904
Qatar,2881060
Romania,19286123
Russian Federation,144104080
Rwanda,12952209
South Asia,1856882402
Saudi Arabia,34813867
Sudan,43849269
Senegal,16743930
Singapore,5685807
Solomon Islands,686878
Sierra Leone,7976985
El Salvador,6486201
San Marino,33938
Somalia,15893219
Serbia,6908224
Sub-Saharan Africa (excluding high income),1135948313
South Sudan,11193729
Sub-Saharan Africa,1136046775
Small states,41913035
Sao Tome and Principe,219161
Suriname,586634
Slovak Republic,5458827
Slovenia,2100126
Sweden,10353442
Eswatini,1160164
Sint Maarten (Dutch part),40812
Seychelles,98462
Syrian Arab Republic,17500657
Turks and Caicos Islands,38718
Chad,16425859
East Asia & Pacific (IDA & IBRD countries),2079198305
Europe & Central Asia (IDA & IBRD countries),462247461
Togo,8278737
Thailand,69799978
Tajikistan,9537642
Turkmenistan,6031187
Latin America & the Caribbean (IDA & IBRD countries),636492840
Timor-Leste,1318442
Middle East & North Africa (IDA & IBRD countries),391344574
Tonga,105697
South Asia (IDA & IBRD),1856882402
Sub-Saharan Africa (IDA & IBRD countries),1136046775
Trinidad and Tobago,1399491
Tunisia,11818618
Turkey,84339067
Tuvalu,11792
Tanzania,59734213
Uganda,45741000
Ukraine,44134693
Upper middle income,2513672792
Uruguay,3473727
United States,329484123
Uzbekistan,34232050
St. Vincent and the Grenadines,110947
"Venezuela, RB",28435943
British Virgin Islands,30237
Virgin Islands (U.S.),106290
Vietnam,97338583
Vanuatu,307150
World,7752840547
Samoa,198410
Kosovo,1775378
"Yemen, Rep.",29825968
South Africa,59308690
Zambia,18383956
Zimbabwe,14862927
